frequency;MAG;PHA
5261.193547;-8.198116831;62.94082119
5280.637297;-8.162004306;62.80640701
5300.152905;-8.125341569;62.69664169
5319.740636;-8.081949248;62.63643258
5339.400758;-8.044262759;62.51649645
5359.133537;-8.001994148;62.42155727
5378.939242;-7.961881689;62.34866824
5398.818144;-7.925026711;62.22940931
5418.770511;-7.888028883;62.11888063
5438.796617;-7.843328126;61.99042326
5458.896733;-7.850715927;61.91845903
5479.071132;-7.816545546;61.78342296
5499.32009;-7.778833275;61.67586427
5519.643882;-7.739408256;61.55696467
5540.042784;-7.695393078;61.47424604
5560.517075;-7.657398027;61.40642764
5581.067032;-7.620054991;61.23458296
5601.692935;-7.583588512;61.16518214
5622.395065;-7.545904801;61.06653684
5643.173704;-7.510661689;60.91136862
5664.029135;-7.472355374;60.83827761
5684.961641;-7.436934851;60.69465781
5705.971506;-7.400405501;60.62391894
5727.059018;-7.360714458;60.5023653
5748.224463;-7.3243586;60.41663263
5769.468129;-7.291125062;60.28172046
5790.790304;-7.245161303;60.18950442
5812.19128;-7.204419015;60.0997991
5833.671348;-7.167914576;60.01872712
5855.230799;-7.132943544;59.89620106
5876.869927;-7.096386617;59.77328774
5898.589026;-7.064508608;59.70491411
5920.388393;-7.027874657;59.54195694
5942.268324;-6.990558765;59.43561996
5964.229116;-6.956749747;59.33902146
5986.271068;-6.924647106;59.2354511
6008.394481;-6.89200204;59.13347119
6030.599654;-6.853875201;59.0065543
6052.886892;-6.818314983;58.90713218
6075.256496;-6.789050141;58.81472504
6097.708771;-6.756657522;58.67109312
6120.244023;-6.720178453;58.58731643
6142.862558;-6.693851426;58.49867893
6165.564685;-6.663689342;58.37499525
6188.350711;-6.632168224;58.25573154
6211.220948;-6.596415222;58.14790122
6234.175706;-6.568866597;58.07371324
6257.215298;-6.536605092;57.91246035
6280.340037;-6.502752357;57.80663919
6303.550237;-6.463289197;57.73540505
6326.846216;-6.436027276;57.64057705
6350.228289;-6.399948267;57.51287792
6373.696776;-6.372354916;57.42608232
6397.251994;-6.339760858;57.31513065
6420.894265;-6.312769397;57.18390942
6444.623911;-6.27876327;57.07257881
6468.441255;-6.24693926;56.99860124
6492.34662;-6.205685403;56.86267904
6516.340332;-6.171113212;56.76143297
6540.422717;-6.14544611;56.6397777
6564.594103;-6.113390308;56.54690054
6588.854819;-6.080243919;56.44088762
6613.205195;-6.052761662;56.34095676
6637.645563;-6.021440309;56.2338957
6662.176255;-5.99287514;56.10726234
6686.797605;-5.961096458;56.03248299
6711.509948;-5.933670814;55.92952553
6736.31362;-5.906737925;55.82651711
6761.208958;-5.875854585;55.68959514
6786.196302;-5.84965947;55.59361059
6811.275992;-5.81649894;55.4843939
6836.448368;-5.795917204;55.37114571
6861.713774;-5.759966153;55.27377253
6887.072553;-5.734513199;55.17759456
