Freq.	V(vin)/I(R3)
3.97164117362138e+006	(8.20581141641605e+001dB,1.79997359791051e+002°)
4.06415258082047e+006	(8.20581461855259e+001dB,1.79997525917569e+002°)
4.15881885551333e+006	(8.20581772103249e+001dB,1.79997682008763e+002°)
4.25569019101186e+006	(8.20582072481400e+001dB,1.79997828626680e+002°)
4.35481794978038e+006	(8.20582363107581e+001dB,1.79997966306603e+002°)
4.45625469066870e+006	(8.20582644118944e+001dB,1.79998095557808e+002°)
4.56005419677952e+006	(8.20582915669391e+001dB,1.79998216864358e+002°)
4.66627150398493e+006	(8.20583177927231e+001dB,1.79998330685933e+002°)
4.77496293010715e+006	(8.20583431073050e+001dB,1.79998437458684e+002°)
4.88618610477902e+006	(8.20583675297740e+001dB,1.79998537596100e+002°)
5.00000000000000e+006	(8.20583910800719e+001dB,1.79998631489884e+002°)
